Name,Recurrence Pattern Unit,Recurrence Pattern Value,Start Hour
Siebel Sensor: SIEBEL_CRASH_IDENTIFIER - Monthly,MONTH,1,12
Siebel Sensor: SIEBEL_COMMSERVER_WF_PARAMETER - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_EPROD_VERSIONS - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_S_SRM_REQUEST_QUEUED_WORKFLOW - Daily,DAY,1,12
Siebel Sensor: SIEBEL_WORKMON_CRASH_DICISCOLENCRYPTED - Weekly,WEEK,SUN,12
Siebel Sensor: SIEBEL_WF_MONITOR_LVL - Daily,DAY,1,12
Siebel Sensor: SIEBEL_LOY_QUERY_TXN - Daily,DAY,1,12
Siebel Sensor: SIEBEL_NUM_WORKSPACE_ENABLED_REPOSITORIES - Minute,MIN,1,12
Siebel Sensor: SIEBEL_TBUI_LOG - Daily,DAY,1,12
Siebel Sensor: SIEBEL_AM_COMPONENT - Hourly,HOUR,1,12
Siebel Sensor: SIEBEL_EMAIL_SSL_TIMEOUT - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_S_EAI_QUEUE - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_CONFIG_CALC_FIELD - Weekly,WEEK,FRI,12
Siebel Sensor: SIEBEL_UPT_RUNTIME_EVENTS - Monthly,MONTH,1,12
Siebel Sensor: SIEBEL_S_ESCL_REQ_MONITOR - Daily,DAY,1,12
Siebel Sensor: SIEBEL_S_COMM_REQ - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_COND_EXPR_ACTION_RUNTIME_EVENT_CRASH - Weekly,WEEK,WED,12
Siebel Sensor: SIEBEL_S_TASK_INBOX - Daily,DAY,1,12
Siebel Sensor: COPY_SIEBEL_SQL_TEST1 - Minute,MIN,1,12
Siebel Sensor: SIEBEL_S_XMLP_REPOUTPT_ERROR - Hourly,HOUR,1,12
Siebel Sensor: SIEBEL_ORDERMANAGEMENT_INCORRECTDUEDATE - Weekly,WEEK,WED,12
Siebel Sensor: SIEBEL_LOY_SERVER_KEY_MEM - Daily,DAY,1,12
Siebel Sensor: SIEBEL_S_XMLP_REPOUTPT_PERFORMANCE - Daily,DAY,1,12
Siebel Sensor: SIEBEL_SYSTEM_REQUIRED_WORKFLOWS - Weekly,WEEK,SUN,12
Siebel Sensor: SIEBEL_BIP_PDQ_CHECK - Daily,DAY,1,12
Siebel Sensor: SIEBEL_LOY_EXPIRATION_DATE_ACCRUAL - Daily,DAY,1,12
Siebel Sensor: SIEBEL_LONGRUNNINGWF_FULLMIGRATION - Weekly,WEEK,SUN,12
Siebel Sensor: SIEBEL_LOY_PADACCURAL - Daily,DAY,1,12
Siebel Sensor: SIEBEL_S_USER_FLAG - Daily,DAY,1,12
Siebel Sensor: SIEBEL_S_UI_ORPHAN_RECORDS - Daily,DAY,1,12
Siebel Sensor: SIEBEL_ENABLE_SCRIPT_ENGINE - Monthly,MONTH,1,12
Siebel Sensor: SIEBEL_TEST_PLAN_FOR_TEST_SET - Weekly,WEEK,SUN,12
Siebel Sensor: SIEBEL_LOY_VOUCHER_EXPIRY - Weekly,WEEK,TUE,12
Siebel Sensor: SIEBEL_MKT_CAL_INVITATION_STATUS - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_TXN_ROUTING_BACKLOG - Hourly,HOUR,1,12
Siebel Sensor: SIEBEL_WKF_ACTIVE - Daily,DAY,1,12
Siebel Sensor: SIEBEL_EMR_HIGHNUMBER_PROFILES - Daily,DAY,1,12
Siebel Sensor: SIEBEL_NEW64BITEMAILDRIVER - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_WF_MONITOR_DEFINITION_LEVEL_NOT_FOUND - Weekly,WEEK,MON,12
Siebel Sensor: SIEBEL_EMAIL_DELIVERY_STATUS_DOMAIN - Weekly,WEEK,SUN,12
